Date	AvgTemp	MaxTemp	MinTemp	Precipitation	RelHumidity	CloudCover	SunshineDuration	AirPressure	Wind	VaporContent
1893-01-26	-0.6	2.2	-2.4	0	89	48	4.2	1007	6	5.5
1893-01-27	0	2.3	-6.3	0	80	64	3.8	1007.3	3.8	4.8
1893-01-28	-2.7	1.3	-5	0	81	26	6	1008.7	6	4.3
1893-01-29	-3.6	0.7	-8.5	0	79	2	6.6	1004.7	9.4	3.6
1893-01-30	1	2.6	-4.7	0.4	96	80	0	1003.2	8.5	6.3
1893-01-31	4.2	6.5	2	1.4	89	80	2.5	1006.7	10.2	7.2
1893-02-01	2.8	4.6	2.1	13.8	96	80	0	995.7	2.5	7.2
1893-02-02	1.4	2.6	0.5	1	99	80	0	999	3	6.8
1893-02-03	-3	0.8	-4.6	0	77	56	0	1014.8	5	3.9
1893-02-04	-8.4	-4.6	-9.8	0	69	18	8	1026.5	1.9	2.1
1893-02-05	-5.9	-2.2	-13.2	0	64	58	2.7	1021.4	4.4	2.1
1893-02-06	-3.3	-1.3	-8	0	84	50	1.5	1016.9	2.5	4
1893-02-07	0	2.5	-7.4	1.7	75	58	3.2	1007.3	9.4	4.5
1893-02-08	3.2	4.1	1.8	3.8	81	78	0.1	993.8	15.5	6.3
1893-02-09	1	3.3	0.4	3	92	62	0.1	992.3	13.2	6.1
1893-02-10	2	4.7	0.3	4	92	70	1.5	975	8.5	6.5
1893-02-11	3.7	5.6	0.4	1.7	89	70	0	985.5	13.2	7.1
1893-02-12	1.8	4.8	0.6	2	84	72	0.4	988.4	10.2	6
1893-02-13	0.1	1.4	-2.1	4.5	92	74	2.1	995.2	9.4	5.6
1893-02-14	4.4	6.3	0.2	5.9	84	80	0	991.6	13.2	7.1
1893-02-15	6.8	9.4	4	0	85	64	0	1001.7	6	8.5
1893-02-16	7.3	12.7	1.8	0	71	46	5.8	1005.2	3.8	6.9
1893-02-17	4.2	10.1	-0.3	6.1	82	50	3.8	1007.6	3.8	6.8
1893-02-18	3.2	5.3	1.1	4	90	78	4.7	1009.8	4.4	6.9
1893-02-19	7	8	3.2	11.8	98	80	0	998	8.5	9.7
1893-02-20	7	7.7	6.5	2.3	98	80	0	991.6	4.4	9.7
1893-02-21	5.4	8.8	2.5	0.8	79	70	6.1	979.9	4.4	6.9
1893-02-22	0.8	5.5	-1.6	9.4	98	80	0	971	6.7	6.8
1893-02-23	-6	-1.6	-7	0.8	92	64	0	984	3	3.6
1893-02-24	-4.2	-0.9	-10.1	0	91	70	0.6	985.6	3	4
1893-02-25	2.2	5.1	-3.2	0.5	89	66	1.3	978.4	6	6.1
1893-02-26	3.1	6.7	1.2	0	69	54	7.1	988.9	6	5.2
1893-02-27	6.5	10.3	2.2	0	65	58	5.6	991.6	10.2	6.4
1893-02-28	7.7	14.3	4	2.5	65	62	4.7	995.4	12.3	6.8
1893-03-01	4.5	6.8	0.3	2.5	73	72	6.1	1006.9	3.8	5.9
1893-03-02	7.2	10.1	4.4	2	86	78	1.3	995.5	9.4	8.8
1893-03-03	0.9	6.4	-0.6	0.7	79	74	0.1	1004.3	15.5	5.2
1893-03-04	-0.1	4.7	-4.7	0.1	65	38	8.1	1016.1	3	3.7
1893-03-05	5.5	7.8	-0.2	1.8	80	80	0	1001	12.3	7.2
1893-03-06	3	6.1	2.5	0.6	85	80	0	1000.9	10.2	6.5
1893-03-07	4	6.1	-1.1	3.6	90	80	0	1005.5	13.2	7.1
1893-03-08	4.6	7.9	1.8	0.7	72	56	2.7	998.4	21.5	6.3
1893-03-09	3.6	6.5	1.2	1	73	66	2.5	1006.5	4.4	5.6
1893-03-10	3.9	7.5	0.7	2.4	78	62	4	993.9	19	6.5
1893-03-11	2.1	4.9	0	0	62	56	5.5	1007.3	13.2	4.4
1893-03-12	8.2	13.7	1.6	0	53	32	6.6	1001	11.4	5.5
1893-03-13	11	18.2	4.8	0.2	45	18	9.1	993.6	8.5	6
1893-03-14	9.1	11.7	6.6	3.1	96	80	0	995.7	3	10.9
1893-03-15	10.1	13.1	8.6	0.1	72	58	0.2	997	7.5	8.8
1893-03-16	9.8	12.6	7.1	1.2	60	66	3.8	991.8	12.3	7.1
1893-03-17	1.6	9.8	-0.2	3.6	77	72	3.1	988.6	9.4	5.3
1893-03-18	-0.3	2.5	-1.7	0.4	77	70	5.3	994.5	13.2	4.5
1893-03-19	0	3.4	-1.4	0.7	64	42	6	1008.2	4.4	4
1893-03-20	0.4	2.3	-2.8	1.4	89	80	0	1010.6	1.9	5.6
1893-03-21	3.2	5.6	0.7	0.1	90	72	0	1012.6	6.7	7.1
1893-03-22	4.5	8.7	0.2	0	86	72	1.1	1014.1	3.8	7.2
1893-03-23	7.8	13.6	1.9	0	69	18	7.1	1011.7	5	6.8
1893-03-24	6.9	14.5	2.2	0	74	8	9.5	1013.6	3.8	7.1
1893-03-25	2.4	7.7	-1.4	0	64	2	10.1	1019.2	6.7	4.4
1893-03-26	0.6	6.9	-3.1	0	64	26	7.8	1017	6	4
1893-03-27	3	9.7	-4.7	0	42	14	9.9	1016.5	3	2.5
1893-03-28	5	12.6	-2.2	0	44	16	10.3	1011.6	3.8	3.3
1893-03-29	7.3	13.9	0	0	52	2	10	1004.6	6	5.2
1893-03-30	2.6	7.7	0.6	0	93	72	2.4	1002.9	2.5	6.8
1893-03-31	7.5	15.4	0	0	59	48	2.4	1001.1	2.5	5.6
1893-04-01	9.6	17.2	2.5	0	50	30	9.4	1005.9	5	5.3
1893-04-02	12.1	20.2	2.5	0	44	18	9.4	1008.4	5	5.6
1893-04-03	10.2	17.5	3.9	0	58	8	10.5	1009.9	1.3	6.9
1893-04-04	7.3	9.8	2	0	81	54	0	1010.4	3.8	8.3
1893-04-05	6.5	12	0.9	0	82	40	7.7	1011.8	3.8	7.9
1893-04-06	8.8	16.8	1.6	0	60	10	11.1	1014.6	2.5	6.4
1893-04-07	11.6	18	4.9	0	54	8	11.5	1016.3	3.8	6.7
1893-04-08	9.8	17.7	2.6	0	65	16	9.8	1017.3	4.4	7.2
1893-04-09	9.1	15.3	2.3	0	51	24	9.9	1018	2.5	5.2
1893-04-10	11.9	17.8	4.4	0	44	6	11.7	1012.1	0.4	5.7
1893-04-11	6.5	13.2	4.2	0	54	2	11	1007.4	5	5.3
1893-04-12	4.7	10	-2.2	0	41	14	11.7	1007.7	3	3.2
1893-04-13	3.2	8.5	1.1	0	46	42	7.1	1005	9.4	3.6
1893-04-14	4.2	9	-3.5	0	59	66	8.5	1011.1	8.5	4.7
1893-04-15	8.9	14.2	3.5	0	57	40	2.8	1007.1	8.5	6.3
1893-04-16	5.7	11.5	4.4	0.7	78	74	1	1004.2	11.4	7.3
1893-04-17	3.3	7.5	1.4	0	43	40	9.4	1010.7	10.2	3.3
1893-04-18	4.6	10.7	-2.4	0	31	10	11.8	1014.2	1.3	2.4
1893-04-19	10.3	17.3	-1.9	0	33	42	9.5	1007.8	3	3.5
1893-04-20	12.5	17.8	8.1	0	38	50	4.4	1006	1.9	5.3
1893-04-21	13.3	19.7	6.1	0	47	18	10.1	1004.6	5	6.8
1893-04-22	9.7	16.5	3.6	0	47	18	13.4	1011.4	3.8	5.2
1893-04-23	8.2	15.7	3.1	0	43	6	12.9	1013	6	4.3
1893-04-24	11.6	18.7	1.5	0	38	30	12.7	1008.1	3.8	4.7
1893-04-25	9.2	15.2	4.8	0	55	8	11	1006.1	4.4	6.3
1893-04-26	14.1	22.2	3	0	44	18	12.9	1000.7	6.7	6.5
1893-04-27	6.3	14.3	5.4	0	86	56	2.2	999	5	8.3
1893-04-28	6.4	9.3	4	0	73	72	1.4	1000.2	6	6.9
1893-04-29	7.6	12.2	4.6	0	62	50	5.9	1001.3	1.9	6.1
1893-04-30	8.9	15.4	3.5	0.3	53	38	8.2	996.8	6	5.7
1893-05-01	7.2	12.2	4.5	0.8	65	50	8.1	1002.1	9.4	6.8
1893-05-02	5.9	9.2	2.6	3.2	86	64	0.5	1006	1.9	8.1
1893-05-03	8.6	12.4	4.5	4.4	85	78	0	1006.4	1.3	9.3
1893-05-04	7	11.2	4.1	4	75	62	4.8	1012.8	6	7.2
1893-05-05	6.1	10.7	2.6	0.1	61	64	9.4	1017.4	3.8	5.5
1893-05-06	5.1	9.1	1.6	1.1	59	66	7	1013.5	7.5	5.1
1893-05-07	6.6	10.2	2.5	2.2	81	70	2	1008.4	10.2	7.6
1893-05-08	14.6	18.9	7	0	52	38	11.4	1010.8	11.4	8.4
1893-05-09	13.6	20	7.3	0	42	2	13.7	1013.3	5	6.4
1893-05-10	13.7	21.1	6.4	0	40	10	14	1010.7	6	6
1893-05-11	11	18.2	5	0	55	16	14.3	1009	6	7.1
1893-05-12	12.7	19.1	3.3	0	54	32	10.4	1007	2.5	7.6
1893-05-13	15.4	20.7	8.5	0	50	62	6.9	1006.8	2.5	8.4
1893-05-14	15.8	21.6	8.1	0	44	14	14	1009.7	1.3	7.2
1893-05-15	17.3	24.7	9.5	0	49	24	11.5	1000.5	4.4	9.5
1893-05-16	17.4	24.7	8.2	0	37	14	13.4	999.8	5	6.8
1893-05-17	17.9	23.7	12	0	62	58	6.9	994.8	2.5	12.4
1893-05-18	17.5	23.5	12.7	0	74	56	5	995	1.9	14.7
1893-05-19	16.4	21.4	11.2	0	78	74	0.7	998	2.5	14.3
1893-05-20	13	17.5	10.9	0	80	72	0.6	998.7	3.8	12.3
1893-05-21	12.2	18.2	9.7	0	74	40	8	1000.6	3	10.5
1893-05-22	18.2	25.2	6.5	0	63	16	13.1	1000.9	2.5	12.3
1893-05-23	22.4	30.4	13	0	47	14	14.1	1000	5	11.3
1893-05-24	19.2	28.1	14.5	0	61	64	7.5	994.7	6	13.6
1893-05-25	13.9	19.4	10.6	0.3	66	54	9.5	1002	4.4	10.4
1893-05-26	11.8	15.9	10.6	0.1	76	70	2.8	1002	6	10.7
1893-05-27	10.9	13.5	7.9	0.7	78	74	0.8	1002.3	4.4	9.9
1893-05-28	10	16.1	8.9	0	84	62	4.1	1003.6	4.4	10.5
1893-05-29	11.6	16.4	5.2	0.1	81	78	4.6	1000.7	5	10.8
1893-05-30	10	13.5	6.6	0	51	72	3.7	1000	5	6.4
1893-05-31	10.2	15.4	5.7	0	49	38	10	998.4	2.5	6.1
1893-06-01	9.5	15.4	5	0	66	38	7.6	1000.5	3.8	8
1893-06-02	13	17.5	5.6	0	54	42	7.7	1001.5	0.4	7.7
1893-06-03	15.2	21.8	8.4	0	45	42	9	1001.3	1.9	7.6
1893-06-04	16.4	23.3	9.1	0	46	38	12.7	1006.5	1.9	8.4
1893-06-05	14.6	20	7.6	0	60	56	7.4	1008.5	1.3	9.9
1893-06-06	17	21.7	11	0	46	34	12.4	1010.1	5	8.5
1893-06-07	16.5	23.4	7	0	37	8	15.3	1011.9	5	6.4
1893-06-08	17.5	23.9	4.6	0	42	26	13.7	1010.4	1.3	7.7
1893-06-09	16.9	22.4	9.8	0	45	16	13.9	1008.6	1.9	8.4
1893-06-10	11.6	21.9	9.7	8.9	84	64	5	1006.9	3	11.7
1893-06-11	11.5	12.7	9.4	3.1	89	78	0	1005.1	6	12
1893-06-12	13.5	17.9	10.1	6.2	86	56	3.2	1005	1.3	13.5
1893-06-13	16.1	21.7	9.2	0	70	38	9.3	1005.3	1.3	12.3
1893-06-14	19.1	25.2	11.1	0	53	22	13.4	1003.3	0.8	11.6
1893-06-15	20	26.3	11.8	0	45	18	14.7	1004.3	4.4	10.1
1893-06-16	18.5	26.1	10.1	0	51	10	15.2	1007.4	3.8	10
1893-06-17	21.4	27.6	12.6	0	50	14	13.7	1012	2.5	11.9
1893-06-18	21.3	26.4	12.4	0	50	6	15	1008.2	7.5	12.1
1893-06-19	22.2	28.2	13.8	1.4	52	8	15.5	1000.8	5	12.9
1893-06-20	16	22.8	14.5	0	58	66	8.4	992.1	9.4	10.3
1893-06-21	13.7	16.8	7.2	0	60	70	2.6	995.9	5	9.2
1893-06-22	14.8	19.2	10.2	0	53	48	6.8	995.2	2.5	8.8
1893-06-23	17.6	23.3	9.7	3.5	62	78	2.6	987.1	3.8	12.4
1893-06-24	16.8	21	14.3	0.4	65	30	7.9	986.9	3.8	12.8
1893-06-25	13.8	18.4	10.5	2.8	74	42	9.9	995.5	4.4	11.6
1893-06-26	12.2	19.5	10.5	7.3	86	66	7.7	1001.2	2.5	12.5
1893-06-27	16.2	20.3	8.9	0	68	72	5.8	1002	0.8	11.5
1893-06-28	21.2	30.5	15.6	2.6	67	40	12.5	1000.2	2.5	16.9
1893-06-29	19.2	24.8	15.6	0	75	54	7.1	1002.7	3	17.1
1893-06-30	17.5	22.9	11.5	0	67	50	7.8	1007.6	3	13.3
1893-07-01	15.3	17.2	12.6	0	76	80	0	1008	1.3	12.9
1893-07-02	18.1	24.1	9.8	0	71	24	13.5	1007.1	3	14
1893-07-03	19.7	27	12.5	0	50	14	14.6	1006.2	2.5	11.1
1893-07-04	16.8	23.4	8.1	0	55	8	15.5	1006.8	1.3	10
1893-07-05	16.6	23.2	9	0	45	10	15.1	1003	3	8.1
1893-07-06	20	26.8	10.4	0	41	22	12.8	1003.4	1.9	9.2
1893-07-07	22.2	29.1	12.3	0	41	24	12.9	1005	1.9	10.7
1893-07-08	24.4	31.3	15.9	0	36	8	13.3	1002.4	1.3	10.4
1893-07-09	24.4	32.1	14.8	0	42	32	14.1	1000.8	6.7	12.3
1893-07-10	22.2	27.8	17.4	0	63	78	6.8	1002.8	6	16.3
1893-07-11	19.6	27.5	15.6	2.1	86	64	4.8	997.2	1.9	19.6
1893-07-12	20	27.1	16.1	0.5	72	50	8.3	993.3	3.8	16.7
1893-07-13	18.3	24	14.8	0.7	65	34	7.2	990.7	6	14
1893-07-14	17.7	24.2	12.3	0	68	24	9.2	992.5	6	13.9
1893-07-15	16.2	22.9	13.6	0	59	40	9	998.3	4.4	10.8
1893-07-16	16.2	20	10.4	0	60	38	5.3	1000.9	2.5	11.1
1893-07-17	15.6	21.4	11.3	0.2	67	74	1.2	996.4	5	11.9
1893-07-18	13.5	19.2	11.2	1.2	72	54	4.5	993.3	6.7	10.9
1893-07-19	15.4	22.1	11.5	0.5	80	64	7	997.3	6	13.7
1893-07-20	23.4	30.4	12.7	0	46	42	9.5	995.5	6	11.9
1893-07-21	21.7	31.1	17.2	1.4	59	46	7.4	997.1	6	14.8
1893-07-22	18.8	23.7	15.6	10.2	83	72	2.4	999.3	3	18.3
1893-07-23	16	20.7	11.8	0	66	48	11.5	1007.5	5	11.6
1893-07-24	19.2	23.8	9.8	0.4	48	72	7.2	1004.6	2.5	10.1
1893-07-25	19.4	25.1	16.3	0.2	65	58	3.5	998.8	3.8	14.5
1893-07-26	19.6	25	12.6	0	55	58	6.3	1000.7	2.5	11.7
1893-07-27	17.8	21.5	14.4	2.4	85	74	0.2	1002.5	0.8	17.1
1893-07-28	17.9	21	15.2	0.9	75	74	0.3	1006.8	3.8	15.2
1893-07-29	15.2	19.2	13.1	34.2	79	80	0	1001.8	4.4	13.9
1893-07-30	13.1	16.4	10.6	0.2	88	74	0.1	993.8	6	13.2
1893-07-31	13.4	16.8	11.5	12.7	90	64	3.9	994.7	1.3	13.6
1893-08-01	12.9	17.1	9.1	1.2	81	38	7.4	998	3.8	11.9
1893-08-02	15.5	20.6	10.3	0	64	32	11.2	1001.2	6	10.8
1893-08-03	17.8	22.6	12.1	0	63	42	8.1	1003.5	5	12.5
1893-08-04	21.5	28.5	12.8	1.8	53	10	13.6	1000.1	4.4	12.8
1893-08-05	17.3	23	15.6	0	71	56	4.7	998.2	3	14.1
1893-08-06	14.7	20.7	12.3	0.1	78	54	7.8	1002.5	1.9	13.1
1893-08-07	13.7	19.7	8.2	0	64	32	11	1009.3	1.3	9.9
1893-08-08	16.5	22.6	9.6	0	52	24	10.7	1012.3	1.9	9.6
1893-08-09	15.4	21.1	9.5	0	72	32	4.5	1010.4	1.9	12.3
1893-08-10	18.3	24.4	12.7	0	62	38	9.3	1009.2	1.3	12.1
1893-08-11	20.1	26.3	13	0	59	8	13	1007.8	1.9	13.2
1893-08-12	21.4	27.9	13.8	0	63	26	12.4	1006.1	1.3	14.8
1893-08-13	17.7	22.8	14.2	12.3	88	64	4.2	1004.2	3	18.1
1893-08-14	15.4	18.8	13.8	0	84	56	1.8	1007.4	6	14.9
1893-08-15	15.2	19.6	12.3	0	88	50	1.2	1010	2.5	15.2
1893-08-16	20.3	26.6	12.7	0	71	46	7.7	1005.8	4.4	16.5
1893-08-17	19.4	25	16.3	0	72	16	11.2	1005.6	6	16.5
1893-08-18	19.8	27.1	12.8	0	57	6	13.4	1009.2	2.5	12.7
1893-08-19	24.6	33	12.1	0	47	8	12.3	1004.2	3.8	12.7
1893-08-20	24	30.7	18.1	0	61	42	9.6	1003.2	4.4	17.1
1893-08-21	24.7	31.1	17.1	2.7	61	26	8.9	1000.4	5	17.7
1893-08-22	20.7	27.6	18.1	7.6	75	54	8.2	1001.8	1.9	18.5
1893-08-23	19.4	25.6	16.5	1.2	69	74	5.3	1004.9	3.8	15.9
1893-08-24	16.2	23.1	13.6	0	76	42	5.6	1001.5	6.7	14
1893-08-25	14.5	19.2	12.1	0	69	26	10	1003.5	13.2	11.3
1893-08-26	12.6	16.8	10.6	1.5	81	72	6	1001	10.2	11.6
1893-08-27	12	16.5	9.8	2.9	86	62	3.7	999.6	6.7	12.3
1893-08-28	12.3	19.6	8.9	2.1	82	50	5.9	1005.7	2.5	11.7
1893-08-29	13.6	17	9.5	0	78	62	3.9	1007.4	7.5	11.7
1893-08-30	14.5	18.8	12.9	2	71	58	6.8	998.7	8.5	11.7
1893-08-31	11	16	8.4	1.2	84	54	2.9	994.2	8.5	11.1
1893-09-01	9.9	17.1	4.1	0	70	18	10.5	1002.1	4.4	8.3
1893-09-02	8.6	10.8	6.3	6	90	50	0.1	1000	3	10.1
1893-09-03	10.6	15.8	4.2	0.1	79	70	6.3	1006.5	3	9.7
1893-09-04	13.2	16	10.2	0	83	54	0.7	1006	4.4	12.4
1893-09-05	12.6	16.7	10.3	0	78	48	1.5	1005.5	3	11.5
1893-09-06	15.6	21.8	7	0	73	42	4.8	998.1	2.5	12.4
1893-09-07	16.8	20.2	13.6	11.1	86	72	0.4	995	6	16.7
1893-09-08	15.4	20.5	12.8	0.8	84	50	4.8	994.2	5	14.7
1893-09-09	11	15.9	8.6	4.5	85	42	3.6	991.1	10.2	11.5
1893-09-10	9.3	15.3	7.1	1.2	79	40	8.1	999	8.5	9.3
1893-09-11	9	15.5	3.1	0	70	2	10.4	1011.6	1.9	7.5
1893-09-12	11.5	17.3	5.4	0	65	32	8.8	1014.6	1.3	8.5
1893-09-13	12.8	21.2	5.5	0	62	18	10.2	1007.4	4.4	8.5
1893-09-14	12.2	17.9	10.3	0.8	70	42	4.7	1005.5	9.4	10
1893-09-15	13.2	19.5	6.8	0	85	42	5.4	1009.7	3.8	12.4
1893-09-16	17.6	23.7	10.9	0	71	46	9.3	999.7	2.5	13.5
1893-09-17	15.7	24.5	11.5	0.8	75	62	4.9	987.4	7.5	13.9
1893-09-18	12	15.6	7.3	0	79	70	2.3	994.9	3	10.8
1893-09-19	16.8	21.6	9.6	0	58	48	6.8	994.4	4.4	10.7
1893-09-20	17.8	22	13.5	0	58	66	3.6	989.2	3	11.3
1893-09-21	15.9	21.1	13.7	1.1	51	54	8.4	991	7.5	9.2
1893-09-22	11.6	16.9	8.8	0	71	40	2.3	992.6	8.5	9.7
1893-09-23	10.3	14.1	6.6	0	74	72	0	996.7	9.4	9.3
1893-09-24	10.1	13.9	8.4	0	63	50	2	997.9	6.7	7.9
1893-09-25	9.9	15.6	5.4	0.6	69	62	5	999.9	10.2	8
1893-09-26	7.4	13.4	3.7	1.7	67	46	7.3	1003	3.8	6.7
1893-09-27	11.6	14.6	5.7	3.4	82	78	0	998.6	6.7	11.1
1893-09-28	11.4	15.3	9.7	1.3	87	58	4.1	996	6.7	12
1893-09-29	15.4	20.1	7.1	1.2	69	74	3	994.5	6.7	11.3
1893-09-30	17	24.1	13.6	0.8	69	50	3.4	991.1	3.8	13.3
1893-10-01	13.4	16.1	12.5	13.6	97	80	0	991.3	0.8	14.8
1893-10-02	11.8	16.7	9.1	1.8	87	48	4.5	995.4	6	11.9
1893-10-03	11	17.5	7.2	0	73	32	6.1	986.5	3.8	9.5
1893-10-04	8.2	12.3	5.6	0.8	87	54	2.2	984.9	4.4	9.3
1893-10-05	12.8	16.8	7.5	3.1	81	56	2.5	988.5	6	11.9
1893-10-06	15.7	20.2	12.8	0.6	82	72	1.9	993.6	4.4	14.4
1893-10-07	16.4	20.9	12.6	0	78	50	1.4	997.9	2.5	14.1
1893-10-08	16.7	22.3	11.6	0	79	38	7	1000	1.9	14.4
1893-10-09	17.9	25	11.7	0	77	26	7.7	999.9	3.8	15.3
1893-10-10	14.3	18.1	12.1	0	69	64	2.6	1002.7	10.2	11.5
1893-10-11	13.1	18.3	8.7	0	73	38	5.4	1008.4	2.5	10.8
1893-10-12	11.7	17.7	9.5	1.6	73	66	1.4	1001.9	4.4	10.3
1893-10-13	7.6	10.7	5.5	0	80	32	1.6	1006.2	9.4	8.4
1893-10-14	8.1	10.2	5.9	8.5	88	80	0	999.6	6	9.5
1893-10-15	13.3	14.6	7.8	12.6	97	80	0	995.8	6	14.5
1893-10-16	13.6	14.3	12.8	8.2	96	80	0	998.1	9.4	15.1
1893-10-17	12.7	15.8	11.6	1.7	75	70	2.8	997.2	11.4	11.3
1893-10-18	5.6	12.1	4.6	0	82	46	1.4	1004.8	5	7.5
1893-10-19	4.7	8.6	0	0	83	64	2.8	1014.9	1.9	7.1
1893-10-20	9.2	11	3.7	0.4	92	78	0	1014.6	3.8	10.5
1893-10-21	10	11	8.3	1.9	92	78	0	1011.3	3	11.1
1893-10-22	11.2	14.5	9.7	5.4	85	74	0.4	1007.7	6	11.5
1893-10-23	7.4	12.1	5.7	0.2	87	24	5.5	1008.5	7.5	8.9
1893-10-24	8.6	9.9	4.1	0	76	74	0.5	1013.2	6.7	8.4
1893-10-25	7.6	11.9	5.5	0	76	54	5.6	1008.5	5	8.1
1893-10-26	8.5	13.2	5	3.9	81	56	1.6	996.4	6	8.9
1893-10-27	6	9.2	4.8	0.5	80	48	4.4	994	11.4	7.6
1893-10-28	7.8	10.1	4.5	1.1	70	58	1	1000.6	10.2	7.3
1893-10-29	9.6	10.9	6.7	4.2	89	80	0	993.5	8.5	10.4
1893-10-30	6	9.9	5	3	95	70	0	997.3	1.9	9.1
1893-10-31	4.7	5.5	4.1	5.8	97	80	0	1001.8	0.8	8.3
1893-11-01	4	8.1	0.7	2.5	83	50	6.6	1003.1	3.8	6.7
1893-11-02	4.8	8.1	2.4	1.1	89	70	2.4	991	8.5	7.6
1893-11-03	6.2	8.6	4	0.7	87	56	3.8	996.7	8.5	8.3
1893-11-04	7.9	12.5	4.6	2	85	74	0	993.4	12.3	9.7
1893-11-05	2.8	8.3	-0.2	1	76	56	6.7	999.7	3	5.6
1893-11-06	3.2	6.6	-0.8	0.1	86	50	6.8	997.5	2.5	6.5
1893-11-07	0.2	4.1	-2.5	0	81	46	6.5	1005.6	2.5	5.1
1893-11-08	0.7	2.6	-3	1	96	62	0.1	1010.3	0.8	6.1
1893-11-09	-0.7	2.8	-2.5	0	88	26	8.1	1016.6	0.8	5.2
1893-11-10	-1.9	2.6	-5.3	0.2	90	30	5.4	1011.3	1.9	4.8
1893-11-11	-2.8	-1.5	-5.9	0.1	98	80	0	1015.1	0.8	4.8
1893-11-12	0.2	1.1	-1.8	0	100	80	0	1019.6	0.8	6.3
1893-11-13	-1	0.8	-1.8	0.1	100	80	0	1016.2	2.5	5.7
1893-11-14	1.3	3	-3.8	0	86	30	6.4	1002.4	3	5.6
1893-11-15	3.1	4.1	1.8	16.5	91	80	0	992.8	4.4	7.1
1893-11-16	3.6	4.8	1.6	0.2	93	80	0	1003.3	4.4	7.5
1893-11-17	2	3.5	1.2	1.6	90	80	0	992.6	6	6.5
1893-11-18	4.5	6.6	1.6	4.2	85	70	1	978.2	2.5	7.1
1893-11-19	5	5.9	3	22.6	96	80	0	977.6	5	8.1
1893-11-20	3.8	6	2.2	1.5	90	80	0	996.3	8.5	7.5
1893-11-21	-0.1	2.6	-2.2	0	80	40	5	1010.7	5	5.1
1893-11-22	0.6	2.3	-2.5	0	76	78	0.2	1001.4	9.4	4.9
1893-11-23	0	2.7	-1	0	88	78	0.9	994.6	5	5.6
1893-11-24	0	1.3	-0.8	0.1	87	56	0.2	1000.6	5	5.5
1893-11-25	2.8	4	-1	4.8	85	80	0	993.2	12.3	6.4
1893-11-26	5.6	6.6	2.6	5.6	89	80	0	983.5	12.3	7.9
1893-11-27	-2	6.7	-4	0	79	34	2.1	1008.2	6.7	4.3
1893-11-28	3.2	5.6	-4	5.2	85	80	0	1007.8	9.4	6.4
1893-11-29	8.6	9.3	5.5	0	89	80	0	1008.2	11.4	9.9
1893-11-30	5.4	8.3	4.6	0.1	91	80	0	1001.8	3.8	8.3
1893-12-01	3.2	4.6	2.6	7.4	98	80	0	992.1	3	7.7
1893-12-02	-2.2	3.1	-4.5	0.1	86	54	5.9	1011.6	9.4	4.5
1893-12-03	-1.6	1.2	-6.5	0	87	50	4.6	1013.6	7.5	4.5
1893-12-04	-0.1	0.2	-1.5	4.5	89	80	0	1003.3	4.4	5.5
1893-12-05	0.3	1.1	-0.4	0	97	74	0	1008.8	4.4	6.1
