Inf;Sup;null
2005-04-13, 03:00:00,000;2005-04-13, 03:59:59,999;14.0
2005-04-13, 04:00:00,000;2005-04-13, 04:59:59,999;38.0
2005-04-13, 05:00:00,000;2005-04-13, 05:59:59,999;99.0
2005-04-13, 06:00:00,000;2005-04-13, 06:59:59,999;238.0
2005-04-13, 07:00:00,000;2005-04-13, 07:59:59,999;460.0
2005-04-13, 08:00:00,000;2005-04-13, 08:59:59,999;456.0
2005-04-13, 09:00:00,000;2005-04-13, 09:59:59,999;407.0
2005-04-13, 10:00:00,000;2005-04-13, 10:59:59,999;367.0
2005-04-13, 11:00:00,000;2005-04-13, 11:59:59,999;280.0
2005-04-13, 12:00:00,000;2005-04-13, 12:59:59,999;318.0
2005-04-13, 13:00:00,000;2005-04-13, 13:59:59,999;354.0
2005-04-13, 14:00:00,000;2005-04-13, 14:59:59,999;436.0
2005-04-13, 15:00:00,000;2005-04-13, 15:59:59,999;467.0
2005-04-13, 16:00:00,000;2005-04-13, 16:59:59,999;412.0
2005-04-13, 17:00:00,000;2005-04-13, 17:59:59,999;342.0
2005-04-13, 18:00:00,000;2005-04-13, 18:59:59,999;398.0
2005-04-13, 19:00:00,000;2005-04-13, 19:59:59,999;348.0
2005-04-13, 20:00:00,000;2005-04-13, 20:59:59,999;242.0
2005-04-13, 21:00:00,000;2005-04-13, 21:59:59,999;329.0
2005-04-13, 22:00:00,000;2005-04-13, 22:59:59,999;521.0
2005-04-13, 23:00:00,000;2005-04-13, 23:59:59,999;116.0
2005-04-14, 00:00:00,000;2005-04-14, 00:59:59,999;73.0
2005-04-14, 01:00:00,000;2005-04-14, 01:59:59,999;39.0
2005-04-14, 02:00:00,000;2005-04-14, 02:59:59,999;31.0
2005-04-14, 03:00:00,000;2005-04-14, 03:59:59,999;25.0
2005-04-14, 04:00:00,000;2005-04-14, 04:59:59,999;25.0
2005-04-14, 05:00:00,000;2005-04-14, 05:59:59,999;73.0
2005-04-14, 06:00:00,000;2005-04-14, 06:59:59,999;239.0
2005-04-14, 07:00:00,000;2005-04-14, 07:59:59,999;444.0
2005-04-14, 08:00:00,000;2005-04-14, 08:59:59,999;491.0
2005-04-14, 09:00:00,000;2005-04-14, 09:59:59,999;485.0
2005-04-14, 10:00:00,000;2005-04-14, 10:59:59,999;398.0
2005-04-14, 11:00:00,000;2005-04-14, 11:59:59,999;339.0
2005-04-14, 12:00:00,000;2005-04-14, 12:59:59,999;318.0
2005-04-14, 13:00:00,000;2005-04-14, 13:59:59,999;334.0
2005-04-14, 14:00:00,000;2005-04-14, 14:59:59,999;408.0
2005-04-14, 15:00:00,000;2005-04-14, 15:59:59,999;492.0
2005-04-14, 16:00:00,000;2005-04-14, 16:59:59,999;411.0
2005-04-14, 17:00:00,000;2005-04-14, 17:59:59,999;351.0
2005-04-14, 18:00:00,000;2005-04-14, 18:59:59,999;369.0
2005-04-14, 19:00:00,000;2005-04-14, 19:59:59,999;310.0
2005-04-14, 20:00:00,000;2005-04-14, 20:59:59,999;253.0
2005-04-14, 21:00:00,000;2005-04-14, 21:59:59,999;247.0
2005-04-14, 22:00:00,000;2005-04-14, 22:59:59,999;171.0
2005-04-14, 23:00:00,000;2005-04-14, 23:59:59,999;97.0
2005-04-15, 00:00:00,000;2005-04-15, 00:59:59,999;83.0
2005-04-15, 01:00:00,000;2005-04-15, 01:59:59,999;31.0
2005-04-15, 02:00:00,000;2005-04-15, 02:59:59,999;28.0
2005-04-15, 03:00:00,000;2005-04-15, 03:59:59,999;22.0
2005-04-15, 04:00:00,000;2005-04-15, 04:59:59,999;39.0
2005-04-15, 05:00:00,000;2005-04-15, 05:59:59,999;95.0
2005-04-15, 06:00:00,000;2005-04-15, 06:59:59,999;244.0
2005-04-15, 07:00:00,000;2005-04-15, 07:59:59,999;421.0
2005-04-15, 08:00:00,000;2005-04-15, 08:59:59,999;413.0
2005-04-15, 09:00:00,000;2005-04-15, 09:59:59,999;447.0
2005-04-15, 10:00:00,000;2005-04-15, 10:59:59,999;NaN
2005-04-15, 11:00:00,000;2005-04-15, 11:59:59,999;NaN
2005-04-15, 12:00:00,000;2005-04-15, 12:59:59,999;321.0
2005-04-15, 13:00:00,000;2005-04-15, 13:59:59,999;NaN
2005-04-15, 14:00:00,000;2005-04-15, 14:59:59,999;419.0
2005-04-15, 15:00:00,000;2005-04-15, 15:59:59,999;442.0
2005-04-15, 16:00:00,000;2005-04-15, 16:59:59,999;372.0
2005-04-15, 17:00:00,000;2005-04-15, 17:59:59,999;384.0
2005-04-15, 18:00:00,000;2005-04-15, 18:59:59,999;371.0
2005-04-15, 19:00:00,000;2005-04-15, 19:59:59,999;363.0
2005-04-15, 20:00:00,000;2005-04-15, 20:59:59,999;243.0
2005-04-15, 21:00:00,000;2005-04-15, 21:59:59,999;335.0
2005-04-15, 22:00:00,000;2005-04-15, 22:59:59,999;537.0
2005-04-15, 23:00:00,000;2005-04-15, 23:59:59,999;235.0
2005-04-16, 00:00:00,000;2005-04-16, 00:59:59,999;96.0
2005-04-16, 01:00:00,000;2005-04-16, 01:59:59,999;67.0
2005-04-16, 02:00:00,000;2005-04-16, 02:59:59,999;58.0
2005-04-16, 03:00:00,000;2005-04-16, 03:59:59,999;37.0
2005-04-16, 04:00:00,000;2005-04-16, 04:59:59,999;30.0
2005-04-16, 05:00:00,000;2005-04-16, 05:59:59,999;53.0
2005-04-16, 06:00:00,000;2005-04-16, 06:59:59,999;109.0
2005-04-16, 07:00:00,000;2005-04-16, 07:59:59,999;171.0
2005-04-16, 08:00:00,000;2005-04-16, 08:59:59,999;227.0
2005-04-16, 09:00:00,000;2005-04-16, 09:59:59,999;309.0
2005-04-16, 10:00:00,000;2005-04-16, 10:59:59,999;309.0
2005-04-16, 11:00:00,000;2005-04-16, 11:59:59,999;354.0
2005-04-16, 12:00:00,000;2005-04-16, 12:59:59,999;NaN
2005-04-16, 13:00:00,000;2005-04-16, 13:59:59,999;350.0
2005-04-16, 14:00:00,000;2005-04-16, 14:59:59,999;402.0
2005-04-16, 15:00:00,000;2005-04-16, 15:59:59,999;359.0
2005-04-16, 16:00:00,000;2005-04-16, 16:59:59,999;346.0
2005-04-16, 17:00:00,000;2005-04-16, 17:59:59,999;277.0
2005-04-16, 18:00:00,000;2005-04-16, 18:59:59,999;290.0
2005-04-16, 19:00:00,000;2005-04-16, 19:59:59,999;346.0
2005-04-16, 20:00:00,000;2005-04-16, 20:59:59,999;252.0
2005-04-16, 21:00:00,000;2005-04-16, 21:59:59,999;429.0
2005-04-16, 22:00:00,000;2005-04-16, 22:59:59,999;604.0
2005-04-16, 23:00:00,000;2005-04-16, 23:59:59,999;272.0
2005-04-17, 00:00:00,000;2005-04-17, 00:59:59,999;140.0
2005-04-17, 01:00:00,000;2005-04-17, 01:59:59,999;101.0
2005-04-17, 02:00:00,000;2005-04-17, 02:59:59,999;81.0
2005-04-17, 03:00:00,000;2005-04-17, 03:59:59,999;55.0
2005-04-17, 04:00:00,000;2005-04-17, 04:59:59,999;37.0
2005-04-17, 05:00:00,000;2005-04-17, 05:59:59,999;46.0
2005-04-17, 06:00:00,000;2005-04-17, 06:59:59,999;86.0
2005-04-17, 07:00:00,000;2005-04-17, 07:59:59,999;111.0
2005-04-17, 08:00:00,000;2005-04-17, 08:59:59,999;180.0
2005-04-17, 09:00:00,000;2005-04-17, 09:59:59,999;247.0
2005-04-17, 10:00:00,000;2005-04-17, 10:59:59,999;303.0
2005-04-17, 11:00:00,000;2005-04-17, 11:59:59,999;284.0
2005-04-17, 12:00:00,000;2005-04-17, 12:59:59,999;298.0
2005-04-17, 13:00:00,000;2005-04-17, 13:59:59,999;365.0
2005-04-17, 14:00:00,000;2005-04-17, 14:59:59,999;366.0
2005-04-17, 15:00:00,000;2005-04-17, 15:59:59,999;533.0
2005-04-17, 16:00:00,000;2005-04-17, 16:59:59,999;619.0
2005-04-17, 17:00:00,000;2005-04-17, 17:59:59,999;373.0
2005-04-17, 18:00:00,000;2005-04-17, 18:59:59,999;281.0
2005-04-17, 19:00:00,000;2005-04-17, 19:59:59,999;233.0
2005-04-17, 20:00:00,000;2005-04-17, 20:59:59,999;180.0
2005-04-17, 21:00:00,000;2005-04-17, 21:59:59,999;189.0
2005-04-17, 22:00:00,000;2005-04-17, 22:59:59,999;124.0
2005-04-17, 23:00:00,000;2005-04-17, 23:59:59,999;90.0
2005-04-18, 00:00:00,000;2005-04-18, 00:59:59,999;50.0
2005-04-18, 01:00:00,000;2005-04-18, 01:59:59,999;31.0
2005-04-18, 02:00:00,000;2005-04-18, 02:59:59,999;31.0
2005-04-18, 03:00:00,000;2005-04-18, 03:59:59,999;22.0
2005-04-18, 04:00:00,000;2005-04-18, 04:59:59,999;39.0
2005-04-18, 05:00:00,000;2005-04-18, 05:59:59,999;80.0
2005-04-18, 06:00:00,000;2005-04-18, 06:59:59,999;220.0
2005-04-18, 07:00:00,000;2005-04-18, 07:59:59,999;377.0
2005-04-18, 08:00:00,000;2005-04-18, 08:59:59,999;439.0
2005-04-18, 09:00:00,000;2005-04-18, 09:59:59,999;380.0
2005-04-18, 10:00:00,000;2005-04-18, 10:59:59,999;281.0
2005-04-18, 11:00:00,000;2005-04-18, 11:59:59,999;283.0
2005-04-18, 12:00:00,000;2005-04-18, 12:59:59,999;317.0
2005-04-18, 13:00:00,000;2005-04-18, 13:59:59,999;NaN
2005-04-18, 14:00:00,000;2005-04-18, 14:59:59,999;387.0
2005-04-18, 15:00:00,000;2005-04-18, 15:59:59,999;427.0
2005-04-18, 16:00:00,000;2005-04-18, 16:59:59,999;374.0
2005-04-18, 17:00:00,000;2005-04-18, 17:59:59,999;381.0
2005-04-18, 18:00:00,000;2005-04-18, 18:59:59,999;328.0
2005-04-18, 19:00:00,000;2005-04-18, 19:59:59,999;257.0
2005-04-18, 20:00:00,000;2005-04-18, 20:59:59,999;193.0
2005-04-18, 21:00:00,000;2005-04-18, 21:59:59,999;192.0
2005-04-18, 22:00:00,000;2005-04-18, 22:59:59,999;135.0
2005-04-18, 23:00:00,000;2005-04-18, 23:59:59,999;78.0
2005-04-19, 00:00:00,000;2005-04-19, 00:59:59,999;54.0
2005-04-19, 01:00:00,000;2005-04-19, 01:59:59,999;32.0
2005-04-19, 02:00:00,000;2005-04-19, 02:59:59,999;19.0
2005-04-19, 03:00:00,000;2005-04-19, 03:59:59,999;17.0
2005-04-19, 04:00:00,000;2005-04-19, 04:59:59,999;36.0
2005-04-19, 05:00:00,000;2005-04-19, 05:59:59,999;94.0
2005-04-19, 06:00:00,000;2005-04-19, 06:59:59,999;260.0
2005-04-19, 07:00:00,000;2005-04-19, 07:59:59,999;418.0
2005-04-19, 08:00:00,000;2005-04-19, 08:59:59,999;404.0
2005-04-19, 09:00:00,000;2005-04-19, 09:59:59,999;373.0
2005-04-19, 10:00:00,000;2005-04-19, 10:59:59,999;368.0
2005-04-19, 11:00:00,000;2005-04-19, 11:59:59,999;320.0
2005-04-19, 12:00:00,000;2005-04-19, 12:59:59,999;330.0
2005-04-19, 13:00:00,000;2005-04-19, 13:59:59,999;316.0
2005-04-19, 14:00:00,000;2005-04-19, 14:59:59,999;410.0
2005-04-19, 15:00:00,000;2005-04-19, 15:59:59,999;508.0
2005-04-19, 16:00:00,000;2005-04-19, 16:59:59,999;483.0
2005-04-19, 17:00:00,000;2005-04-19, 17:59:59,999;352.0
2005-04-19, 18:00:00,000;2005-04-19, 18:59:59,999;329.0
2005-04-19, 19:00:00,000;2005-04-19, 19:59:59,999;276.0
2005-04-19, 20:00:00,000;2005-04-19, 20:59:59,999;216.0
2005-04-19, 21:00:00,000;2005-04-19, 21:59:59,999;204.0
2005-04-19, 22:00:00,000;2005-04-19, 22:59:59,999;152.0
2005-04-19, 23:00:00,000;2005-04-19, 23:59:59,999;78.0
2005-04-20, 00:00:00,000;2005-04-20, 00:59:59,999;71.0
2005-04-20, 01:00:00,000;2005-04-20, 01:59:59,999;30.0
2005-04-20, 02:00:00,000;2005-04-20, 02:59:59,999;32.0
2005-04-20, 03:00:00,000;2005-04-20, 03:59:59,999;18.0
2005-04-20, 04:00:00,000;2005-04-20, 04:59:59,999;45.0
2005-04-20, 05:00:00,000;2005-04-20, 05:59:59,999;104.0
2005-04-20, 06:00:00,000;2005-04-20, 06:59:59,999;253.0
2005-04-20, 07:00:00,000;2005-04-20, 07:59:59,999;435.0
2005-04-20, 08:00:00,000;2005-04-20, 08:59:59,999;433.0
2005-04-20, 09:00:00,000;2005-04-20, 09:59:59,999;398.0
2005-04-20, 10:00:00,000;2005-04-20, 10:59:59,999;324.0
2005-04-20, 11:00:00,000;2005-04-20, 11:59:59,999;317.0
2005-04-20, 12:00:00,000;2005-04-20, 12:59:59,999;322.0
2005-04-20, 13:00:00,000;2005-04-20, 13:59:59,999;338.0
2005-04-20, 14:00:00,000;2005-04-20, 14:59:59,999;355.0
2005-04-20, 15:00:00,000;2005-04-20, 15:59:59,999;484.0
2005-04-20, 16:00:00,000;2005-04-20, 16:59:59,999;442.0
2005-04-20, 17:00:00,000;2005-04-20, 17:59:59,999;434.0
2005-04-20, 18:00:00,000;2005-04-20, 18:59:59,999;344.0
2005-04-20, 19:00:00,000;2005-04-20, 19:59:59,999;290.0
2005-04-20, 20:00:00,000;2005-04-20, 20:59:59,999;205.0
2005-04-20, 21:00:00,000;2005-04-20, 21:59:59,999;228.0
2005-04-20, 22:00:00,000;2005-04-20, 22:59:59,999;162.0
2005-04-20, 23:00:00,000;2005-04-20, 23:59:59,999;102.0
2005-04-21, 00:00:00,000;2005-04-21, 00:59:59,999;68.0
2005-04-21, 01:00:00,000;2005-04-21, 01:59:59,999;47.0
2005-04-21, 02:00:00,000;2005-04-21, 02:59:59,999;45.0
2005-04-21, 03:00:00,000;2005-04-21, 03:59:59,999;42.0
2005-04-21, 04:00:00,000;2005-04-21, 04:59:59,999;29.0
2005-04-21, 05:00:00,000;2005-04-21, 05:59:59,999;82.0
2005-04-21, 06:00:00,000;2005-04-21, 06:59:59,999;273.0
2005-04-21, 07:00:00,000;2005-04-21, 07:59:59,999;447.0
2005-04-21, 08:00:00,000;2005-04-21, 08:59:59,999;NaN
2005-04-21, 09:00:00,000;2005-04-21, 09:59:59,999;NaN
2005-04-21, 10:00:00,000;2005-04-21, 10:59:59,999;321.0
2005-04-21, 11:00:00,000;2005-04-21, 11:59:59,999;345.0
2005-04-21, 12:00:00,000;2005-04-21, 12:59:59,999;355.0
2005-04-21, 13:00:00,000;2005-04-21, 13:59:59,999;337.0
2005-04-21, 14:00:00,000;2005-04-21, 14:59:59,999;388.0
2005-04-21, 15:00:00,000;2005-04-21, 15:59:59,999;450.0
2005-04-21, 16:00:00,000;2005-04-21, 16:59:59,999;397.0
2005-04-21, 17:00:00,000;2005-04-21, 17:59:59,999;418.0
2005-04-21, 18:00:00,000;2005-04-21, 18:59:59,999;370.0
2005-04-21, 19:00:00,000;2005-04-21, 19:59:59,999;305.0
2005-04-21, 20:00:00,000;2005-04-21, 20:59:59,999;235.0
2005-04-21, 21:00:00,000;2005-04-21, 21:59:59,999;241.0
2005-04-21, 22:00:00,000;2005-04-21, 22:59:59,999;157.0
2005-04-21, 23:00:00,000;2005-04-21, 23:59:59,999;99.0
2005-04-22, 00:00:00,000;2005-04-22, 00:59:59,999;53.0
2005-04-22, 01:00:00,000;2005-04-22, 01:59:59,999;38.0
2005-04-22, 02:00:00,000;2005-04-22, 02:59:59,999;32.0
2005-04-22, 03:00:00,000;2005-04-22, 03:59:59,999;21.0
2005-04-22, 04:00:00,000;2005-04-22, 04:59:59,999;43.0
2005-04-22, 05:00:00,000;2005-04-22, 05:59:59,999;94.0
2005-04-22, 06:00:00,000;2005-04-22, 06:59:59,999;273.0
2005-04-22, 07:00:00,000;2005-04-22, 07:59:59,999;425.0
2005-04-22, 08:00:00,000;2005-04-22, 08:59:59,999;406.0
2005-04-22, 09:00:00,000;2005-04-22, 09:59:59,999;357.0
2005-04-22, 10:00:00,000;2005-04-22, 10:59:59,999;293.0
2005-04-22, 11:00:00,000;2005-04-22, 11:59:59,999;252.0
2005-04-22, 12:00:00,000;2005-04-22, 12:59:59,999;333.0
2005-04-22, 13:00:00,000;2005-04-22, 13:59:59,999;354.0
2005-04-22, 14:00:00,000;2005-04-22, 14:59:59,999;435.0
2005-04-22, 15:00:00,000;2005-04-22, 15:59:59,999;463.0
2005-04-22, 16:00:00,000;2005-04-22, 16:59:59,999;268.0
2005-04-22, 17:00:00,000;2005-04-22, 17:59:59,999;358.0
2005-04-22, 18:00:00,000;2005-04-22, 18:59:59,999;348.0
2005-04-22, 19:00:00,000;2005-04-22, 19:59:59,999;322.0
2005-04-22, 20:00:00,000;2005-04-22, 20:59:59,999;285.0
2005-04-22, 21:00:00,000;2005-04-22, 21:59:59,999;254.0
2005-04-22, 22:00:00,000;2005-04-22, 22:59:59,999;190.0
2005-04-22, 23:00:00,000;2005-04-22, 23:59:59,999;141.0
2005-04-23, 00:00:00,000;2005-04-23, 00:59:59,999;98.0
2005-04-23, 01:00:00,000;2005-04-23, 01:59:59,999;82.0
2005-04-23, 02:00:00,000;2005-04-23, 02:59:59,999;90.0
2005-04-23, 03:00:00,000;2005-04-23, 03:59:59,999;34.0
2005-04-23, 04:00:00,000;2005-04-23, 04:59:59,999;38.0
2005-04-23, 05:00:00,000;2005-04-23, 05:59:59,999;43.0
2005-04-23, 06:00:00,000;2005-04-23, 06:59:59,999;104.0
2005-04-23, 07:00:00,000;2005-04-23, 07:59:59,999;176.0
2005-04-23, 08:00:00,000;2005-04-23, 08:59:59,999;227.0
2005-04-23, 09:00:00,000;2005-04-23, 09:59:59,999;319.0
2005-04-23, 10:00:00,000;2005-04-23, 10:59:59,999;294.0
2005-04-23, 11:00:00,000;2005-04-23, 11:59:59,999;300.0
2005-04-23, 12:00:00,000;2005-04-23, 12:59:59,999;331.0
2005-04-23, 13:00:00,000;2005-04-23, 13:59:59,999;320.0
2005-04-23, 14:00:00,000;2005-04-23, 14:59:59,999;418.0
2005-04-23, 15:00:00,000;2005-04-23, 15:59:59,999;381.0
2005-04-23, 16:00:00,000;2005-04-23, 16:59:59,999;345.0
2005-04-23, 17:00:00,000;2005-04-23, 17:59:59,999;356.0
2005-04-23, 18:00:00,000;2005-04-23, 18:59:59,999;331.0
2005-04-23, 19:00:00,000;2005-04-23, 19:59:59,999;287.0
2005-04-23, 20:00:00,000;2005-04-23, 20:59:59,999;203.0
2005-04-23, 21:00:00,000;2005-04-23, 21:59:59,999;208.0
2005-04-23, 22:00:00,000;2005-04-23, 22:59:59,999;204.0
2005-04-23, 23:00:00,000;2005-04-23, 23:59:59,999;177.0
2005-04-24, 00:00:00,000;2005-04-24, 00:59:59,999;127.0
2005-04-24, 01:00:00,000;2005-04-24, 01:59:59,999;71.0
2005-04-24, 02:00:00,000;2005-04-24, 02:59:59,999;76.0
2005-04-24, 03:00:00,000;2005-04-24, 03:59:59,999;107.0
2005-04-24, 04:00:00,000;2005-04-24, 04:59:59,999;38.0
2005-04-24, 05:00:00,000;2005-04-24, 05:59:59,999;35.0
2005-04-24, 06:00:00,000;2005-04-24, 06:59:59,999;74.0
2005-04-24, 07:00:00,000;2005-04-24, 07:59:59,999;89.0
2005-04-24, 08:00:00,000;2005-04-24, 08:59:59,999;143.0
2005-04-24, 09:00:00,000;2005-04-24, 09:59:59,999;220.0
2005-04-24, 10:00:00,000;2005-04-24, 10:59:59,999;235.0
2005-04-24, 11:00:00,000;2005-04-24, 11:59:59,999;269.0
2005-04-24, 12:00:00,000;2005-04-24, 12:59:59,999;223.0
2005-04-24, 13:00:00,000;2005-04-24, 13:59:59,999;279.0
2005-04-24, 14:00:00,000;2005-04-24, 14:59:59,999;353.0
2005-04-24, 15:00:00,000;2005-04-24, 15:59:59,999;293.0
2005-04-24, 16:00:00,000;2005-04-24, 16:59:59,999;294.0
2005-04-24, 17:00:00,000;2005-04-24, 17:59:59,999;291.0
2005-04-24, 18:00:00,000;2005-04-24, 18:59:59,999;278.0
2005-04-24, 19:00:00,000;2005-04-24, 19:59:59,999;242.0
2005-04-24, 20:00:00,000;2005-04-24, 20:59:59,999;194.0
2005-04-24, 21:00:00,000;2005-04-24, 21:59:59,999;162.0
2005-04-24, 22:00:00,000;2005-04-24, 22:59:59,999;152.0
2005-04-24, 23:00:00,000;2005-04-24, 23:59:59,999;74.0
2005-04-25, 00:00:00,000;2005-04-25, 00:59:59,999;55.0
2005-04-25, 01:00:00,000;2005-04-25, 01:59:59,999;40.0
2005-04-25, 02:00:00,000;2005-04-25, 02:59:59,999;20.0
2005-04-25, 03:00:00,000;2005-04-25, 03:59:59,999;15.0
2005-04-25, 04:00:00,000;2005-04-25, 04:59:59,999;36.0
2005-04-25, 05:00:00,000;2005-04-25, 05:59:59,999;84.0
2005-04-25, 06:00:00,000;2005-04-25, 06:59:59,999;263.0
2005-04-25, 07:00:00,000;2005-04-25, 07:59:59,999;455.0
2005-04-25, 08:00:00,000;2005-04-25, 08:59:59,999;398.0
2005-04-25, 09:00:00,000;2005-04-25, 09:59:59,999;424.0
2005-04-25, 10:00:00,000;2005-04-25, 10:59:59,999;312.0
2005-04-25, 11:00:00,000;2005-04-25, 11:59:59,999;285.0
2005-04-25, 12:00:00,000;2005-04-25, 12:59:59,999;313.0
2005-04-25, 13:00:00,000;2005-04-25, 13:59:59,999;281.0
2005-04-25, 14:00:00,000;2005-04-25, 14:59:59,999;411.0
2005-04-25, 15:00:00,000;2005-04-25, 15:59:59,999;438.0
2005-04-25, 16:00:00,000;2005-04-25, 16:59:59,999;428.0
2005-04-25, 17:00:00,000;2005-04-25, 17:59:59,999;387.0
2005-04-25, 18:00:00,000;2005-04-25, 18:59:59,999;423.0
2005-04-25, 19:00:00,000;2005-04-25, 19:59:59,999;275.0
2005-04-25, 20:00:00,000;2005-04-25, 20:59:59,999;201.0
2005-04-25, 21:00:00,000;2005-04-25, 21:59:59,999;354.0
2005-04-25, 22:00:00,000;2005-04-25, 22:59:59,999;297.0
2005-04-25, 23:00:00,000;2005-04-25, 23:59:59,999;85.0
2005-04-26, 00:00:00,000;2005-04-26, 00:59:59,999;55.0
2005-04-26, 01:00:00,000;2005-04-26, 01:59:59,999;35.0
2005-04-26, 02:00:00,000;2005-04-26, 02:59:59,999;24.0
2005-04-26, 03:00:00,000;2005-04-26, 03:59:59,999;23.0
