Inf;Sup;value
2005-07-01, 00:00:00,000;2005-07-01, 23:59:59,999;6210.0
2005-07-02, 00:00:00,000;2005-07-02, 23:59:59,999;5022.0
2005-07-03, 00:00:00,000;2005-07-03, 23:59:59,999;4830.0
2005-07-04, 00:00:00,000;2005-07-04, 23:59:59,999;-1
2005-07-05, 00:00:00,000;2005-07-05, 23:59:59,999;-1
2005-07-06, 00:00:00,000;2005-07-06, 23:59:59,999;5792.0
2005-07-07, 00:00:00,000;2005-07-07, 23:59:59,999;6301.0
2005-07-08, 00:00:00,000;2005-07-08, 23:59:59,999;6563.0
2005-07-09, 00:00:00,000;2005-07-09, 23:59:59,999;4807.0
2005-07-10, 00:00:00,000;2005-07-10, 23:59:59,999;3518.0
2005-07-11, 00:00:00,000;2005-07-11, 23:59:59,999;5421.0
2005-07-12, 00:00:00,000;2005-07-12, 23:59:59,999;-1
2005-07-13, 00:00:00,000;2005-07-13, 23:59:59,999;-1
2005-07-14, 00:00:00,000;2005-07-14, 23:59:59,999;-1
2005-07-15, 00:00:00,000;2005-07-15, 23:59:59,999;6698.0
2005-07-16, 00:00:00,000;2005-07-16, 23:59:59,999;5394.0
2005-07-17, 00:00:00,000;2005-07-17, 23:59:59,999;4892.0
2005-07-18, 00:00:00,000;2005-07-18, 23:59:59,999;5994.0
2005-07-19, 00:00:00,000;2005-07-19, 23:59:59,999;6576.0
2005-07-20, 00:00:00,000;2005-07-20, 23:59:59,999;-1
2005-07-21, 00:00:00,000;2005-07-21, 23:59:59,999;-1
2005-07-22, 00:00:00,000;2005-07-22, 23:59:59,999;7028.0
2005-07-23, 00:00:00,000;2005-07-23, 23:59:59,999;5784.0
2005-07-24, 00:00:00,000;2005-07-24, 23:59:59,999;4968.0
2005-07-25, 00:00:00,000;2005-07-25, 23:59:59,999;6898.0
2005-07-26, 00:00:00,000;2005-07-26, 23:59:59,999;7163.0
2005-07-27, 00:00:00,000;2005-07-27, 23:59:59,999;7238.0
2005-07-28, 00:00:00,000;2005-07-28, 23:59:59,999;7661.0
2005-07-29, 00:00:00,000;2005-07-29, 23:59:59,999;7499.0
2005-07-30, 00:00:00,000;2005-07-30, 23:59:59,999;6325.0
2005-07-31, 00:00:00,000;2005-07-31, 23:59:59,999;5215.0
2005-08-01, 00:00:00,000;2005-08-01, 23:59:59,999;6233.0
2005-08-02, 00:00:00,000;2005-08-02, 23:59:59,999;6649.0
2005-08-03, 00:00:00,000;2005-08-03, 23:59:59,999;6673.0
2005-08-04, 00:00:00,000;2005-08-04, 23:59:59,999;-1
2005-08-05, 00:00:00,000;2005-08-05, 23:59:59,999;6924.0
2005-08-06, 00:00:00,000;2005-08-06, 23:59:59,999;5524.0
2005-08-07, 00:00:00,000;2005-08-07, 23:59:59,999;4595.0
2005-08-08, 00:00:00,000;2005-08-08, 23:59:59,999;5979.0
2005-08-09, 00:00:00,000;2005-08-09, 23:59:59,999;5958.0
2005-08-10, 00:00:00,000;2005-08-10, 23:59:59,999;7060.0
2005-08-11, 00:00:00,000;2005-08-11, 23:59:59,999;7110.0
2005-08-12, 00:00:00,000;2005-08-12, 23:59:59,999;7287.0
2005-08-13, 00:00:00,000;2005-08-13, 23:59:59,999;6353.0
2005-08-14, 00:00:00,000;2005-08-14, 23:59:59,999;5579.0
2005-08-15, 00:00:00,000;2005-08-15, 23:59:59,999;5329.0
2005-08-16, 00:00:00,000;2005-08-16, 23:59:59,999;6664.0
2005-08-17, 00:00:00,000;2005-08-17, 23:59:59,999;6673.0
2005-08-18, 00:00:00,000;2005-08-18, 23:59:59,999;5794.0
2005-08-19, 00:00:00,000;2005-08-19, 23:59:59,999;6122.0
2005-08-20, 00:00:00,000;2005-08-20, 23:59:59,999;4896.0
2005-08-21, 00:00:00,000;2005-08-21, 23:59:59,999;4407.0
2005-08-22, 00:00:00,000;2005-08-22, 23:59:59,999;5483.0
2005-08-23, 00:00:00,000;2005-08-23, 23:59:59,999;6058.0
2005-08-24, 00:00:00,000;2005-08-24, 23:59:59,999;6106.0
2005-08-25, 00:00:00,000;2005-08-25, 23:59:59,999;6463.0
2005-08-26, 00:00:00,000;2005-08-26, 23:59:59,999;6651.0
2005-08-27, 00:00:00,000;2005-08-27, 23:59:59,999;5663.0
2005-08-28, 00:00:00,000;2005-08-28, 23:59:59,999;5087.0
2005-08-29, 00:00:00,000;2005-08-29, 23:59:59,999;5702.0
2005-08-30, 00:00:00,000;2005-08-30, 23:59:59,999;4515.0
2005-08-31, 00:00:00,000;2005-08-31, 23:59:59,999;5932.0
2005-09-01, 00:00:00,000;2005-09-01, 23:59:59,999;6444.0
2005-09-02, 00:00:00,000;2005-09-02, 23:59:59,999;6358.0
2005-09-03, 00:00:00,000;2005-09-03, 23:59:59,999;4807.0
2005-09-04, 00:00:00,000;2005-09-04, 23:59:59,999;4359.0
2005-09-05, 00:00:00,000;2005-09-05, 23:59:59,999;4023.0
2005-09-06, 00:00:00,000;2005-09-06, 23:59:59,999;6402.0
2005-09-07, 00:00:00,000;2005-09-07, 23:59:59,999;7082.0
2005-09-08, 00:00:00,000;2005-09-08, 23:59:59,999;7107.0
2005-09-09, 00:00:00,000;2005-09-09, 23:59:59,999;6897.0
2005-09-10, 00:00:00,000;2005-09-10, 23:59:59,999;-1
2005-09-11, 00:00:00,000;2005-09-11, 23:59:59,999;-1
2005-09-12, 00:00:00,000;2005-09-12, 23:59:59,999;-1
2005-09-13, 00:00:00,000;2005-09-13, 23:59:59,999;-1
2005-09-14, 00:00:00,000;2005-09-14, 23:59:59,999;-1
2005-09-15, 00:00:00,000;2005-09-15, 23:59:59,999;-1
2005-09-16, 00:00:00,000;2005-09-16, 23:59:59,999;-1
2005-09-17, 00:00:00,000;2005-09-17, 23:59:59,999;-1
2005-09-18, 00:00:00,000;2005-09-18, 23:59:59,999;4722.0
2005-09-19, 00:00:00,000;2005-09-19, 23:59:59,999;6184.0
2005-09-20, 00:00:00,000;2005-09-20, 23:59:59,999;6150.0
2005-09-21, 00:00:00,000;2005-09-21, 23:59:59,999;6580.0
2005-09-22, 00:00:00,000;2005-09-22, 23:59:59,999;6810.0
2005-09-23, 00:00:00,000;2005-09-23, 23:59:59,999;7175.0
2005-09-24, 00:00:00,000;2005-09-24, 23:59:59,999;5848.0
2005-09-25, 00:00:00,000;2005-09-25, 23:59:59,999;4991.0
2005-09-26, 00:00:00,000;2005-09-26, 23:59:59,999;6394.0
2005-09-27, 00:00:00,000;2005-09-27, 23:59:59,999;6664.0
2005-09-28, 00:00:00,000;2005-09-28, 23:59:59,999;6831.0
2005-09-29, 00:00:00,000;2005-09-29, 23:59:59,999;6917.0
2005-09-30, 00:00:00,000;2005-09-30, 23:59:59,999;7079.0
2005-10-01, 00:00:00,000;2005-10-01, 23:59:59,999;-1
